AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
20.4,60.0,1019.8,False,27.3,69,1.0
20.4,61.0,1019.8,False,27.3,10,1.4
20.4,61.0,1019.8,False,27.3,255,0.7
20.5,61.0,1020.2,False,27.4,355,1.6
20.5,60.0,1019.8,False,27.2,65,1.6
20.5,60.0,1020.0,False,27.0,2,1.1
20.4,61.0,1020.0,False,27.0,69,1.2
20.5,60.0,1020.0,False,27.0,32,2.1
20.5,60.0,1020.0,False,27.0,128,1.5
20.5,60.0,1020.0,False,27.3,136,1.2
20.5,60.0,1020.2,False,27.3,0,1.4
20.5,59.0,1020.1,False,27.4,51,0.8
20.5,60.0,1020.1,False,27.4,190,1.5
20.5,61.0,1020.0,False,27.0,351,1.9
20.5,61.0,1020.2,False,27.7,83,1.7
20.5,61.0,1020.1,False,27.2,105,1.0
20.5,61.0,1020.1,False,27.2,105,1.0
20.5,60.0,1019.9,False,27.8,15,1.2
20.6,60.0,1020.0,False,27.8,0,1.0
20.7,58.0,1020.1,False,27.7,13,1.2
20.7,59.0,1020.1,False,27.7,83,2.0
20.7,59.0,1020.2,False,27.7,38,1.7
20.7,60.0,1020.1,False,27.7,158,2.5
20.8,59.0,1020.1,False,28.4,98,1.6
20.9,59.0,1020.2,False,28.7,77,1.6
20.9,58.0,1020.2,False,28.7,124,1.3
21.0,58.0,1020.2,False,28.9,240,1.4
21.0,57.0,1020.4,False,29.0,177,1.2
21.1,57.0,1020.3,False,28.9,168,1.8
21.0,57.0,1020.3,False,28.8,104,1.8
21.0,57.0,1020.4,False,28.6,239,1.6
21.0,57.0,1020.3,False,28.4,0,0.9
21.0,58.0,1020.5,False,28.3,138,2.3
20.9,58.0,1020.4,False,28.3,79,1.8
21.0,59.0,1020.4,False,28.5,60,1.2
20.9,59.0,1020.5,False,28.5,42,1.2
20.9,60.0,1020.4,False,27.8,84,2.3
20.8,60.0,1020.4,False,27.7,343,2.7
20.8,61.0,1020.7,False,27.8,103,1.2
20.8,60.0,1020.5,False,27.8,180,1.4
20.7,60.0,1020.7,False,27.9,43,0.8
20.6,59.0,1020.7,False,27.9,102,2.1
20.7,58.0,1020.5,False,28.0,32,1.3
20.7,59.0,1020.6,False,27.9,29,2.1
20.6,59.0,1020.8,False,27.8,166,1.4
20.7,60.0,1020.8,False,27.8,169,1.5
20.6,60.0,1020.8,False,27.8,196,1.4
20.7,60.0,1020.7,False,28.1,63,1.6
20.7,60.0,1020.9,False,28.2,162,0.9
20.7,61.0,1020.9,False,27.4,217,0.9
20.7,60.0,1020.9,False,27.4,0,0.6
20.7,61.0,1020.9,False,27.3,151,1.1
20.6,60.0,1020.9,False,27.1,18,1.4
20.6,60.0,1021.1,False,26.9,136,1.8
20.6,60.0,1020.8,False,26.8,313,1.9
20.6,60.0,1020.9,False,26.8,134,1.2
20.5,60.0,1021.0,False,26.7,27,1.5
20.5,60.0,1020.8,False,26.6,241,2.0
20.5,61.0,1021.0,False,26.6,91,1.8
20.5,60.0,1021.0,False,26.6,297,1.4
20.6,60.0,1020.9,False,26.5,226,2.0
20.6,60.0,1021.1,False,26.4,231,2.2
20.6,60.0,1021.0,False,26.4,206,2.9
20.6,60.0,1021.0,False,26.3,202,2.0
20.6,60.0,1021.1,False,26.3,289,2.6
20.5,60.0,1021.1,False,25.9,69,2.1
20.5,60.0,1021.2,False,25.9,0,1.5
20.5,60.0,1021.3,False,25.9,189,0.9
20.5,60.0,1021.3,False,25.9,204,1.1
20.5,60.0,1021.3,False,26.1,258,1.8
20.5,60.0,1021.3,False,26.1,39,1.2
20.4,60.0,1021.4,False,26.0,241,1.3
20.5,60.0,1021.4,False,25.9,105,1.4
20.5,60.0,1021.6,False,25.9,268,1.7
20.5,60.0,1021.5,False,25.9,251,1.7
20.5,60.0,1021.5,False,26.0,227,1.9
20.5,60.0,1021.5,False,25.6,177,2.2
20.5,60.0,1021.5,False,25.5,223,1.3
20.5,61.0,1021.4,False,25.7,27,1.4
20.5,61.0,1021.3,False,25.6,0,1.9
20.5,60.0,1021.3,False,25.7,116,1.0
20.5,60.0,1021.6,False,25.6,46,2.2
20.5,61.0,1021.4,False,25.5,200,1.6
20.5,60.0,1021.4,False,25.5,273,1.7
20.5,60.0,1021.5,False,25.5,192,1.8
20.5,60.0,1021.5,False,25.4,215,1.5
20.5,60.0,1021.5,False,25.3,8,0.8
20.5,60.0,1021.6,False,25.3,245,1.3
20.5,60.0,1021.6,False,25.2,264,2.2
20.5,60.0,1021.8,False,25.1,129,1.0
20.5,60.0,1021.6,False,25.0,144,1.3
20.5,60.0,1021.5,False,25.1,122,1.0
20.5,60.0,1021.6,False,25.0,52,1.1
20.5,59.0,1021.5,False,25.2,107,1.1
20.5,59.0,1021.7,False,25.2,9,1.8
20.5,60.0,1021.5,False,25.1,80,0.6
20.5,60.0,1021.6,False,24.8,173,2.4
20.5,60.0,1021.6,False,24.8,115,0.7
20.5,60.0,1021.6,False,25.3,223,0.8
20.5,60.0,1021.7,False,25.3,85,1.6
20.5,60.0,1021.8,False,25.3,311,1.7
20.4,61.0,1021.6,False,24.9,213,1.4
20.5,60.0,1021.4,False,25.0,53,1.5
20.5,61.0,1021.5,False,25.2,187,2.1
20.5,60.0,1021.6,False,25.2,228,1.3
20.4,60.0,1021.6,False,25.2,354,0.9
