Driver,Team,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
VER,Red Bull Racing,12.0,0 days 01:13:18.038000,,MEDIUM,15.0
VER,Red Bull Racing,37.0,0 days 01:45:15.788000,,HARD,25.0
VER,Red Bull Racing,67.0,0 days 02:23:20.428000,,HARD,30.0
VER,Red Bull Racing,68.0,0 days 02:25:24.736000,0 days 02:23:38.616000,HARD,31.0
VER,Red Bull Racing,69.0,0 days 02:27:29.424000,0 days 02:25:43.895000,HARD,32.0
GAS,Alpine,53.0,0 days 02:06:49.789000,,HARD,53.0
GAS,Alpine,66.0,0 days 02:24:02.772000,,MEDIUM,13.0
GAS,Alpine,67.0,0 days 02:25:58.223000,0 days 02:24:20.976000,MEDIUM,14.0
GAS,Alpine,68.0,0 days 02:27:44.940000,0 days 02:26:16.438000,MEDIUM,15.0
ANT,Mercedes,14.0,0 days 01:15:53.561000,,MEDIUM,20.0
ANT,Mercedes,38.0,0 days 01:46:31.523000,,HARD,25.0
ANT,Mercedes,67.0,0 days 02:23:23.475000,,HARD,29.0
ANT,Mercedes,68.0,0 days 02:25:26.109000,0 days 02:23:41.725000,HARD,30.0
ANT,Mercedes,69.0,0 days 02:27:30.534000,0 days 02:25:45.036000,HARD,31.0
ALO,Aston Martin,15.0,0 days 01:17:24.467000,,MEDIUM,19.0
ALO,Aston Martin,50.0,0 days 02:02:31.159000,,HARD,36.0
ALO,Aston Martin,66.0,0 days 02:23:10.069000,,HARD,17.0
ALO,Aston Martin,67.0,0 days 02:25:03.867000,0 days 02:23:28.382000,HARD,18.0
ALO,Aston Martin,68.0,0 days 02:26:43.158000,0 days 02:25:22.095000,HARD,19.0
ALO,Aston Martin,69.0,0 days 02:28:19.831000,0 days 02:27:01.471000,HARD,20.0
LEC,Ferrari,28.0,0 days 01:33:50.589000,,HARD,28.0
LEC,Ferrari,53.0,0 days 02:05:34.226000,,HARD,25.0
LEC,Ferrari,67.0,0 days 02:23:50.538000,,MEDIUM,14.0
LEC,Ferrari,68.0,0 days 02:25:45.567000,0 days 02:24:08.835000,MEDIUM,15.0
LEC,Ferrari,69.0,0 days 02:27:36.331000,0 days 02:26:03.817000,MEDIUM,16.0
STR,Aston Martin,24.0,0 days 01:29:22.003000,,HARD,25.0
STR,Aston Martin,51.0,0 days 02:04:15.569000,,HARD,28.0
STR,Aston Martin,66.0,0 days 02:24:06.116000,,MEDIUM,15.0
STR,Aston Martin,67.0,0 days 02:26:07.598000,0 days 02:24:29.937000,SOFT,1.0
STR,Aston Martin,68.0,0 days 02:27:49.487000,0 days 02:26:25.908000,SOFT,2.0
TSU,Red Bull Racing,56.0,0 days 02:10:27.400000,,HARD,56.0
TSU,Red Bull Racing,66.0,0 days 02:23:55.772000,,MEDIUM,10.0
TSU,Red Bull Racing,67.0,0 days 02:25:53.130000,0 days 02:24:14.022000,MEDIUM,11.0
TSU,Red Bull Racing,68.0,0 days 02:27:39.424000,0 days 02:26:11.377000,MEDIUM,12.0
ALB,Williams,23.0,0 days 01:28:05.116000,,MEDIUM,27.0
HUL,Kick Sauber,19.0,0 days 01:22:39.677000,,MEDIUM,19.0
HUL,Kick Sauber,66.0,0 days 02:23:14.178000,,HARD,47.0
HUL,Kick Sauber,67.0,0 days 02:25:06.621000,0 days 02:23:32.538000,HARD,48.0
HUL,Kick Sauber,68.0,0 days 02:26:45.690000,0 days 02:25:24.880000,HARD,49.0
HUL,Kick Sauber,69.0,0 days 02:28:22.597000,0 days 02:27:04.096000,HARD,50.0
LAW,Racing Bulls,38.0,0 days 01:47:31.321000,,HARD,39.0
LAW,Racing Bulls,54.0,0 days 02:08:45.587000,,MEDIUM,16.0
OCO,Haas F1 Team,57.0,0 days 02:11:33.613000,,HARD,57.0
OCO,Haas F1 Team,66.0,0 days 02:23:31.335000,,MEDIUM,9.0
OCO,Haas F1 Team,67.0,0 days 02:25:28.401000,0 days 02:23:49.522000,MEDIUM,10.0
OCO,Haas F1 Team,68.0,0 days 02:27:31.752000,0 days 02:25:46.630000,MEDIUM,11.0
NOR,McLaren,29.0,0 days 01:35:04.240000,,HARD,29.0
NOR,McLaren,47.0,0 days 01:57:57.048000,,MEDIUM,18.0
COL,Alpine,14.0,0 days 01:16:12.702000,,MEDIUM,19.0
COL,Alpine,66.0,0 days 02:23:58.429000,,HARD,52.0
COL,Alpine,67.0,0 days 02:25:55.364000,0 days 02:24:16.616000,HARD,53.0
COL,Alpine,68.0,0 days 02:27:41.206000,0 days 02:26:13.533000,HARD,54.0
HAM,Ferrari,15.0,0 days 01:17:16.765000,,MEDIUM,15.0
HAM,Ferrari,45.0,0 days 01:55:47.543000,,HARD,30.0
HAM,Ferrari,67.0,0 days 02:24:22.413000,,HARD,22.0
HAM,Ferrari,68.0,0 days 02:26:13.122000,0 days 02:24:40.745000,HARD,23.0
HAM,Ferrari,69.0,0 days 02:27:50.909000,0 days 02:26:31.377000,HARD,24.0
BOR,Kick Sauber,49.0,0 days 02:01:38.612000,,HARD,49.0
BOR,Kick Sauber,66.0,0 days 02:23:59.319000,,MEDIUM,17.0
BOR,Kick Sauber,67.0,0 days 02:25:56.926000,0 days 02:24:17.585000,MEDIUM,18.0
BOR,Kick Sauber,68.0,0 days 02:27:42.831000,0 days 02:26:15.264000,MEDIUM,19.0
SAI,Williams,57.0,0 days 02:11:38.582000,,HARD,57.0
SAI,Williams,66.0,0 days 02:23:31.897000,,MEDIUM,9.0
SAI,Williams,67.0,0 days 02:25:29.378000,0 days 02:23:50.163000,MEDIUM,10.0
SAI,Williams,68.0,0 days 02:27:33.018000,0 days 02:25:47.630000,MEDIUM,11.0
HAD,Racing Bulls,13.0,0 days 01:14:58.967000,,MEDIUM,13.0
HAD,Racing Bulls,66.0,0 days 02:24:03.491000,,HARD,54.0
HAD,Racing Bulls,67.0,0 days 02:26:04.505000,0 days 02:24:27.172000,SOFT,4.0
HAD,Racing Bulls,68.0,0 days 02:27:47.503000,0 days 02:26:22.830000,SOFT,5.0
RUS,Mercedes,13.0,0 days 01:14:32.061000,,MEDIUM,16.0
RUS,Mercedes,42.0,0 days 01:51:27.898000,,HARD,30.0
