Driver,LapNumber,PitInTime,PitOutTime,Compound,TyreLife
NOR,11.0,0 days 01:18:15.593000,,MEDIUM,11.0
NOR,34.0,0 days 01:52:42.584000,,HARD,23.0
GAS,11.0,0 days 01:18:21.012000,,MEDIUM,11.0
PER,18.0,0 days 01:30:18.038000,,MEDIUM,18.0
PER,43.0,0 days 02:07:47.788000,,HARD,25.0
ANT,12.0,0 days 01:19:53.658000,,MEDIUM,12.0
ALO,11.0,0 days 01:18:44.236000,,SOFT,11.0
ALO,13.0,0 days 01:22:49.657000,,SOFT,2.0
ALO,22.0,0 days 01:52:27.205000,,SOFT,11.0
LEC,25.0,0 days 01:39:23.741000,,MEDIUM,25.0
STR,11.0,0 days 01:18:54.258000,,MEDIUM,11.0
STR,26.0,0 days 01:42:46.531000,,HARD,15.0
STR,34.0,0 days 01:55:18.611000,,SOFT,8.0
STR,39.0,0 days 02:20:37.402000,,SOFT,5.0
ALB,12.0,0 days 01:20:22.785000,,MEDIUM,12.0
ALB,33.0,0 days 01:51:58.614000,,HARD,21.0
VER,18.0,0 days 01:29:23.209000,,HARD,18.0
VER,41.0,0 days 02:02:31.678000,,MEDIUM,23.0
LAW,11.0,0 days 01:18:36.737000,,MEDIUM,11.0
LAW,33.0,0 days 01:52:10.404000,,HARD,22.0
OCO,11.0,0 days 01:18:20.493000,,MEDIUM,11.0
LIN,18.0,0 days 01:29:22.947000,,MEDIUM,18.0
COL,9.0,0 days 01:15:34.795000,,HARD,9.0
COL,46.0,0 days 02:11:09.223000,,HARD,46.0
HAM,28.0,0 days 01:43:39.308000,,MEDIUM,28.0
BOR,18.0,0 days 01:29:29.607000,,MEDIUM,18.0
BOR,33.0,0 days 01:51:24.281000,,HARD,15.0
SAI,11.0,0 days 01:18:29.832000,,SOFT,11.0
SAI,33.0,0 days 01:52:03.329000,,HARD,22.0
SAI,45.0,0 days 02:09:42.506000,,MEDIUM,12.0
RUS,12.0,0 days 01:19:51.153000,,MEDIUM,12.0
BOT,12.0,0 days 01:21:36.868000,,HARD,12.0
BEA,18.0,0 days 01:29:24.359000,,MEDIUM,18.0
